MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
10/20/2018,ΝΚΡ1,Γέονμπουκ,Ίντσεον Γιουν.,0,1,1,0,0.689,0.178,0.133,0,1.5,1.5,0.9454,0,0.9917,0
10/20/2018,ΕΣΘ1,Πάιντε Λιναμεσκόντ,Πάρνου Βαρπούς,0,1,2,0,0.8624,0.0866,0.051,0,1.5,1.5,0.989,0,0.9917,0
10/20/2018,ΙΣΠ1,Ρεάλ Μαδρίτης,Λεβάντε,1,1,3,0,0.8871,0.0732,0.0397,0,1.5,1.5,0.9081,0,0.9917,0
10/20/2018,ΛΕΤ1,Ρίγα ΦΚ,Γιελγκάβα,0,1,4,0,0.748,0.1828,0.0693,0,1.5,1.5,0.9884,0,0.9917,0
10/20/2018,ΚΙΝΑ,Χανγκτσόου Γκρίνταουν ΦΚ,Γιανμπιάν,0,1,5,0,0.711,0.1772,0.1117,0,1.5,1.5,1.0216,0,0.9917,0
10/20/2018,ΑΡΠΛ,Αρτσάχ,Λόρι,1,1,6,0,0.1836,0.2372,0.5792,0,1.5,1.5,0.9686,0,0.9917,0
10/20/2018,ΕΣΘ1,Κουρεσάρε,Κάλεβ Ταλίνα,0,1,2,0,0.1831,0.1806,0.6363,0,1.5,1.5,0.989,0,0.9917,0
10/20/2018,ΠΑΡ1,CA 3 Φεμπρέρο,Ντεπορτίβο Καπιάτα,0,1,7,0,0.3951,0.2842,0.3207,0,1.5,1.5,0.9963,0,0.9917,0
10/20/2018,ΒΡΑ2,CRB Αλ,Γκοϊάς,0,1,8,0,0.3396,0.3048,0.3556,0,1.5,1.5,1.0032,0,0.9917,0
10/20/2018,ΙΝΝ1,Αρέμα Ιντονίσια,Μπαλί Γιουνάιτεντ Πουσάμ,0,1,9,0,0.4645,0.2678,0.2678,0,1.5,1.5,0.9844,0,0.9917,0
10/20/2018,ΑΡΓ2,Ατλέτικο Ραφαέλα,Ολίμπο,0,1,10,0,0.4617,0.3037,0.2346,0,1.5,1.5,0.9958,0,0.9917,0
10/20/2018,ΜΕΞ2,Ατλέτικο Σαν Λούις,Καφεταλέρος Ντε Ταπάτσουλα,0,1,11,0,0.465,0.2892,0.2458,0,1.5,1.5,1.0307,0,0.9917,0
10/20/2018,ΜΕΞ2,Βενάντος,Αλεμπρίγιες Ντε Οάξακα,0,1,11,0,0.3423,0.3075,0.3502,0,1.5,1.5,1.0307,0,0.9917,0
10/20/2018,ΝΚΡ1,Γιεγιού Γιουν.,Σεούλ,0,1,1,0,0.3662,0.3069,0.3269,0,1.5,1.5,0.9454,0,0.9917,0
10/20/2018,ΝΚΡ1,Γκιέονγκαμ,Σανγκζού Σανγκμού,0,1,1,0,0.4786,0.2584,0.263,0,1.5,1.5,0.9454,0,0.9917,0
10/20/2018,ΑΥΣΛ,Μέλμπουρν Βίκτορι,Μέλμπουρν Σίτι,1,1,12,0,0.4246,0.2708,0.3046,0,1.5,1.5,0.9862,0,0.9917,0
10/20/2018,ΝΚΡ1,Νταεγκού,Γεονάμ,0,1,1,0,0.4753,0.2552,0.2695,0,1.5,1.5,0.9454,0,0.9917,0
10/20/2018,ΙΑΠ1,Ουράβα Ρεντ Ντάιμοντος,Κασίμα,0,1,13,0,0.4159,0.2637,0.3204,0,1.5,1.5,0.9353,0,0.9917,0
10/20/2018,ΜΕΞ2,Πότρος,Ζακατεπέκ,1,1,11,0,0.4269,0.2948,0.2782,0,1.5,1.5,1.0307,0,0.9917,0
10/20/2018,ΙΑΠ1,Σεντάι,Σαγκάν Τοσού,1,1,13,0,0.4269,0.2782,0.2948,0,1.5,1.5,0.9353,0,0.9917,0
